insert_job,job_type,box_name,command,machine,owner,permission,date_conditions,condition,description,std_out_file,std_err_file,alarm_if_fail,profile,application
US.ANA01001.CMD, CMD,US.ANA01000.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTruncStgTables",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTruncStgTables to truncate Snowflake STG tables for project BIANALYTICS04","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01002.CMD, CMD,US.ANA01000.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTruncStgTablesCustom",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTruncStgTablesCustom to truncate Snowflake STG tables for project BIANALYTICS04-Custom","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01002.CMD, CMD,US.ANA01001.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfWorkflowStart",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01511.CMD),"Triggers job jSfWorkflowStart to start workflow for project BIANALYTICS04","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01003.CMD, CMD,US.ANA01001.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfWorkflowEnd",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfWorkflowEnd to end workflow for project BIANALYTICS04","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01004.CMD, CMD,US.ANA01000.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTruncStgTablesLease",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTruncStgTablesLease to truncate Snowflake STG tables for project BIANALYTICS04-Lease_projections","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01005.CMD, CMD,US.ANA01005.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTruncStgTablesBilling",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01017.CMD),"Triggers job jSfTruncStgTablesBilling to truncate Snowflake STG tables for project BIANALYTICS04-Billing","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01006.CMD, CMD,US.ANA01006.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTruncStgTablesRentalBilling",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTruncStgTablesRentalBilling to truncate Snowflake STG tables for project BIANALYTICS04-RentalBilling","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01009.CMD, CMD,US.ANA01009.BOX,/opt/autosys/jobs/general/env/run_Jenkins_data_validation_job.ksh,Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers data validation jobs in Jenkins","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01010.CMD, CMD,US.ANA01001.BOX,$GEN_BIN/run_Talend_job.ksh -j "jUpdate",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jUpdate","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01011.CMD, CMD,US.ANA01066.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreDelete",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCoreDelete","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01012.CMD, CMD,US.ANA01066.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfRefCoreDelete",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfRefCoreDelete","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01013.CMD, CMD,US.ANA01066.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnBillDelete",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnBillDelete","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01014.CMD, CMD,US.ANA01066.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnInvDelete",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnInvDelete","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01015.CMD, CMD,US.ANA01066.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnAcdtDelete",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnAcdtDelete","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01017.CMD, CMD,US.ANA01005.BOX,$GEN_BIN/run_Talend_job.ksh -j "jUpdateBilling",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jUpdateBilling to create the entry in the Load Date Table (get and put data from Prod)","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01018.CMD, CMD,US.ANA01001.BOX,$GEN_BIN/run_Talend_job.ksh -j "jUpdateCustom",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jUpdateCustom to create the entry in the Load Date Table (get and put data from Prod)","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01019.CMD, CMD,US.ANA01006.BOX,$GEN_BIN/run_Talend_job.ksh -j "jUpdateRentalBilling",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jUpdateRentalBilling to create the entry in the Load Date Table (get and put data from Prod)","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01020.CMD, CMD,US.ANA01056.BOX,$GEN_BIN/run_Talend_job.ksh -j "jUpdateLease_projections",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jUpdateRentalBilling to create the entry in the Load Date Table (get and put data from Prod)","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01029.CMD, CMD,US.ANA01011.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01071.CMD),"Triggers job jSfCoreAssetInfoStg to load data from Spin Source asset_physical to Snowflake Stage asset_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01031.CMD, CMD,US.ANA01015.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreClientBreakdownStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCoreClientBreakdownStg to load data from Spin Source client_Breakdown to Snowflake Stage client_Breakdown","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01034.CMD, CMD,US.ANA01031.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePrfCliBkdwnStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCorePrfCliBkdwnStg to load data from Spin Source profile to Snowflake Stage profile_client_breakdown","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01040.CMD, CMD,US.ANA01016.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreIntrnlCntctInfStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCoreIntrnlCntctInfStg to load data from Spin Source rnal_contact to Snowflake Stage internal_contact_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01044.CMD, CMD,US.ANA01012.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoExt1Stg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01071.CMD),"Triggers job jSfCoreAssetInfoExt1Stg  to load data from Spin Source asset_acquisition to Snowflake Stage asset_info_ext1","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01051.CMD, CMD,US.ANA01013.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoExt2Stg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01071.CMD),"Triggers job jSfCoreAssetInfoExt2Stg to load data from Spin Source asset_physical to Snowflake Stage asset_info_ext2","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01058.CMD, CMD,US.ANA01017.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePersonStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCorePersonStg to load data from Spin Source person to Snowflake Stage person","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01061.CMD, CMD,US.ANA01028.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAstInfoExt3Stg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01071.CMD),"Triggers job jSfCoreAstInfoExt3Stg to load data from Spin Source asset_physical to Snowflake Stage asset_info_ext2","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01062.CMD, CMD,US.ANA01035.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePersonAssetHistoryStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCorePersonAssetHistoryStg to load data from Spin Source person_asset_history to Snowflake Stage person_asset_history","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01063.CMD, CMD,US.ANA01033.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAstOptnStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCoreAstOptnStg to load data from Spin Source asset_option to Snowflake Stage asset_option","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01066.CMD, CMD,US.ANA01003.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoSeedStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfCoreAssetInfoSeedStg to load data from Spin Source fuel_event to Snowflake Stage asset_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01069.CMD, CMD,US.ANA01017.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePersonSeedStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01058.CMD),"Triggers job jSfCorePersonSeedStg  to load data from Spin Source person to Snowflake Stage person","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01071.CMD, CMD,US.ANA01003.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoCdcStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01066.CMD),"Triggers job jSfCoreAssetInfoCdcStg to load data from Spin Source fuel_event to Snowflake Stage asset_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01072.CMD, CMD,US.ANA01017.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePersonCdcStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01069.CMD),"Triggers job jSfCorePersonCdcStg to load data from Spin Source fuel_event to Snowflake Stage person","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01087.CMD, CMD,US.ANA01011.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfo",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01377.CMD),"Triggers job jSfCoreAssetInfo to load data from Spin Source asset_info_stg to Snowflake Target asset_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01089.CMD, CMD,US.ANA01015.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreClientBreakdown",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01031.CMD),"Triggers job jSfCoreClientBreakdown to load data from Spin Source client_breakdown_stg to Snowflake Target client_breakdown","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01092.CMD, CMD,US.ANA01031.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePrfCliBkdwn",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01034.CMD),"Triggers job jSfCorePrfCliBkdwn to load data from Cassandra Source profile_client_breakdown_stg to Snowflake Target fdb_core_profile_client_breakdown","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01096.CMD, CMD,US.ANA01016.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreIntrnlCntctInf",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01040.CMD),"Triggers job jSfCoreIntrnlCntctInf to load data from Spin Source internal_contact_info_stg to Snowflake Target internal_contact_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01098.CMD, CMD,US.ANA01012.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoExt1",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01378.CMD),"Triggers job jSfCoreAssetInfoExt1 to load data from Spin Source asset_info_ext1_stg to Snowflake Target asset_info_ext1","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01104.CMD, CMD,US.ANA01028.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAstInfoExt3",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01344.CMD),"Triggers job jSfCoreAstInfoExt3 to load data from Spin Source asset_info_ext2_stg to Snowflake Target asset_info_ext2","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01110.CMD, CMD,US.ANA01013.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAssetInfoExt2",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01343.CMD),"Triggers job jSfCoreAssetInfoExt2 to load data from Spin Source asset_info_ext2_stg to Snowflake Target asset_info_ext2","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01115.CMD, CMD,US.ANA01033.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCoreAstOptn",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01063.CMD),"Triggers job jSfCoreAstOptn to load data from Cassandra Source asset_option_stg to Snowflake Target fdb_core_asset_cap_detail","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01117.CMD, CMD,US.ANA01017.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePerson",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01072.CMD),"Triggers job jSfCorePerson to load data from Cassandra Source person_stg to Snowflake Target person","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01118.CMD, CMD,US.ANA01035.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfCorePersonAssetHistory",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01062.CMD),"Triggers job jSfCorePersonAssetHistory to load data from Cassandra Source person_asset_history_stg to Snowflake Target person_asset_history","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01139.CMD, CMD,US.ANA01044.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnAcdtAssetOdmtrEstmtStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnAcdtAssetOdmtrEstmtStg to load data from Spin Source asset_odometer_estimate to Snowflake Target asset_odometer_estimate_stg","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01162.CMD, CMD,US.ANA01025.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnBillOthrChrgDailyMasterStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnBillOthrChrgDailyMasterStg to load data from Spin Source other_charge_daily to Snowflake Stage other_charge_daily","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01163.CMD, CMD,US.ANA01054.BOX,$GEN_BIN/run_Talend_job.ksh -j "54",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnBillPaidTicktInfStg to load data from Spin Source paid_ticket to Snowflake Stage paid_ticket_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01164.CMD, CMD,US.ANA01055.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnBillSoldUnitNotcInfStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfTxnBillSoldUnitNotcInfStg to load data from Spin Source sold_unit_notice_expense to Snowflake Stage sold_unit_notice_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01173.CMD, CMD,US.ANA01044.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnAcdtAssetOdmtrEstmt",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01139.CMD),"Triggers job jSfTxnAcdtAssetOdmtrEstmt to load data from Snowflake Source asset_odometer_estimate _stg to Snowflake Target asset_odometer_estimate","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01194.CMD, CMD,US.ANA01054.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnBillPaidTicktInf",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01163.CMD),"Triggers job jSfTxnBillPaidTicktInf to load data from Snowflake Source paid_ticket_info_stg to Snowflake Target paid_ticket_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01195.CMD, CMD,US.ANA01055.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfTxnBillSoldUnitNotcInf",Virtual_DEV_Linux,autosys,gx;ge;wx,0,s(US.ANA01164.CMD),"Triggers job jSfTxnBillSoldUnitNotcInf to load data from Cassandra Source sold_unit_notice_info_stg to Snowflake Target sold_unit_notice_info","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01196.CMD, CMD,US.ANA01040.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfRefCoreClientStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfRefCoreRefClientStg to load data from Spin Source client to Snowflake Stage ref_client","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01197.CMD, CMD,US.ANA01019.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfRefCoreRefDateRangeStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfRefCoreRefDateRangeStg to load data from Spin Source Delimited to Snowflake Stage ref_date_range","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
US.ANA01198.CMD, CMD,US.ANA01057.BOX,$GEN_BIN/run_Talend_job.ksh -j "jSfRefCoreInvyStatCodeStg",Virtual_DEV_Linux,autosys,gx;ge;wx,0,null,"Triggers job jSfRefCoreInvyStatCodeStg to load data from Spin Source inventory_status_code to Snowflake Stage ref_inventory_status_code","${ANA_LOG}/${AUTO_JOB_NAME}.log","${ANA_LOG}/${AUTO_JOB_NAME}.log",1,"${HOME}/jobs/ana/env/ana_env_sf.sh",ANA
