BOX, BOX CONDITION, CMD, CMD CONDITION
US.ANA01000.BOX,null,US.ANA01001.CMD,null
US.ANA01000.BOX,null,US.ANA01002.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01002.CMD,s(US.ANA01511.CMD)
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01003.CMD,null
US.ANA01000.BOX,null,US.ANA01004.CMD,null
US.ANA01005.BOX,null,US.ANA01005.CMD,s(US.ANA01017.CMD)
US.ANA01006.BOX,null,US.ANA01006.CMD,null
US.ANA01009.BOX,s(US.ANA01066.BOX),US.ANA01009.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01010.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01011.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01012.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01013.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01014.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01015.CMD,null
US.ANA01005.BOX,null,US.ANA01017.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01018.CMD,null
US.ANA01006.BOX,null,US.ANA01019.CMD,null
US.ANA01056.BOX,s(US.ANA01004.BOX),US.ANA01020.CMD,null
US.ANA01011.BOX,s(US.ANA01001.BOX),US.ANA01029.CMD,s(US.ANA01071.CMD)
US.ANA01015.BOX,s(US.ANA01001.BOX),US.ANA01031.CMD,null
US.ANA01031.BOX,s(US.ANA01001.BOX),US.ANA01034.CMD,null
US.ANA01016.BOX,s(US.ANA01001.BOX),US.ANA01040.CMD,null
US.ANA01012.BOX,s(US.ANA01011.BOX),US.ANA01044.CMD,s(US.ANA01071.CMD)
US.ANA01013.BOX,s(US.ANA01012.BOX),US.ANA01051.CMD,s(US.ANA01071.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01058.CMD,null
US.ANA01028.BOX,s(US.ANA01038.BOX),US.ANA01061.CMD,s(US.ANA01071.CMD)
US.ANA01035.BOX,s(US.ANA01040.BOX),US.ANA01062.CMD,null
US.ANA01033.BOX,s(US.ANA01001.BOX),US.ANA01063.CMD,null
US.ANA01003.BOX,s(US.ANA01001.BOX),US.ANA01066.CMD,null
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01069.CMD,s(US.ANA01058.CMD)
US.ANA01003.BOX,s(US.ANA01001.BOX),US.ANA01071.CMD,s(US.ANA01066.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01072.CMD,s(US.ANA01069.CMD)
US.ANA01011.BOX,s(US.ANA01001.BOX),US.ANA01087.CMD,s(US.ANA01377.CMD)
US.ANA01015.BOX,s(US.ANA01001.BOX),US.ANA01089.CMD,s(US.ANA01031.CMD)
US.ANA01031.BOX,s(US.ANA01001.BOX),US.ANA01092.CMD,s(US.ANA01034.CMD)
US.ANA01016.BOX,s(US.ANA01001.BOX),US.ANA01096.CMD,s(US.ANA01040.CMD)
US.ANA01012.BOX,s(US.ANA01011.BOX),US.ANA01098.CMD,s(US.ANA01378.CMD)
US.ANA01028.BOX,s(US.ANA01038.BOX),US.ANA01104.CMD,s(US.ANA01344.CMD)
US.ANA01013.BOX,s(US.ANA01012.BOX),US.ANA01110.CMD,s(US.ANA01343.CMD)
US.ANA01033.BOX,s(US.ANA01001.BOX),US.ANA01115.CMD,s(US.ANA01063.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01117.CMD,s(US.ANA01072.CMD)
US.ANA01035.BOX,s(US.ANA01040.BOX),US.ANA01118.CMD,s(US.ANA01062.CMD)
US.ANA01044.BOX,s(US.ANA01001.BOX),US.ANA01139.CMD,null
US.ANA01025.BOX,s(US.ANA01001.BOX),US.ANA01162.CMD,null
US.ANA01054.BOX,s(US.ANA01044.BOX),US.ANA01163.CMD,null
US.ANA01055.BOX,s(US.ANA01044.BOX),US.ANA01164.CMD,null
US.ANA01044.BOX,s(US.ANA01001.BOX),US.ANA01173.CMD,s(US.ANA01139.CMD)
US.ANA01054.BOX,s(US.ANA01044.BOX),US.ANA01194.CMD,s(US.ANA01163.CMD)
US.ANA01055.BOX,s(US.ANA01044.BOX),US.ANA01195.CMD,s(US.ANA01164.CMD)
US.ANA01040.BOX,s(US.ANA01001.BOX),US.ANA01196.CMD,null
US.ANA01019.BOX,s(US.ANA01001.BOX),US.ANA01197.CMD,null
US.ANA01057.BOX,s(US.ANA01001.BOX),US.ANA01198.CMD,null
US.ANA01058.BOX,s(US.ANA01001.BOX),US.ANA01199.CMD,null
US.ANA01029.BOX,s(US.ANA01039.BOX),US.ANA01208.CMD,null
US.ANA01050.BOX,s(US.ANA01040.BOX),US.ANA01209.CMD,null
US.ANA01034.BOX,s(US.ANA01040.BOX),US.ANA01222.CMD,null
US.ANA01027.BOX,s(US.ANA01001.BOX),US.ANA01228.CMD,null
US.ANA01041.BOX,s(US.ANA01001.BOX),US.ANA01229.CMD,null
US.ANA01039.BOX,s(US.ANA01001.BOX),US.ANA01230.CMD,null
US.ANA01051.BOX,s(US.ANA01027.BOX),US.ANA01232.CMD,null
US.ANA01052.BOX,s(US.ANA01027.BOX),US.ANA01233.CMD,null
US.ANA01059.BOX,s(US.ANA01027.BOX),US.ANA01234.CMD,null
US.ANA01040.BOX,s(US.ANA01001.BOX),US.ANA01239.CMD,s(US.ANA01196.CMD)
US.ANA01019.BOX,s(US.ANA01001.BOX),US.ANA01240.CMD,s(US.ANA01197.CMD)
US.ANA01057.BOX,s(US.ANA01001.BOX),US.ANA01241.CMD,s(US.ANA01198.CMD)
US.ANA01058.BOX,s(US.ANA01001.BOX),US.ANA01242.CMD,s(US.ANA01199.CMD)
US.ANA01029.BOX,s(US.ANA01039.BOX),US.ANA01251.CMD,s(US.ANA01208.CMD)
US.ANA01050.BOX,s(US.ANA01040.BOX),US.ANA01252.CMD,s(US.ANA01209.CMD)
US.ANA01034.BOX,s(US.ANA01040.BOX),US.ANA01265.CMD,s(US.ANA01222.CMD)
US.ANA01039.BOX,s(US.ANA01001.BOX),US.ANA01269.CMD,s(US.ANA01230.CMD)
US.ANA01027.BOX,s(US.ANA01001.BOX),US.ANA01271.CMD,s(US.ANA01228.CMD)
US.ANA01041.BOX,s(US.ANA01001.BOX),US.ANA01272.CMD,s(US.ANA01229.CMD)
US.ANA01051.BOX,s(US.ANA01027.BOX),US.ANA01274.CMD,s(US.ANA01232.CMD)
US.ANA01052.BOX,s(US.ANA01027.BOX),US.ANA01275.CMD,s(US.ANA01233.CMD)
US.ANA01059.BOX,s(US.ANA01027.BOX),US.ANA01276.CMD,s(US.ANA01234.CMD)
US.ANA01020.BOX,s(US.ANA01001.BOX),US.ANA01284.CMD,null
US.ANA01020.BOX,s(US.ANA01001.BOX),US.ANA01285.CMD,s(US.ANA01284.CMD)
US.ANA01020.BOX,s(US.ANA01001.BOX),US.ANA01291.CMD,s(US.ANA01285.CMD)
US.ANA01049.BOX,s(US.ANA01001.BOX),US.ANA01297.CMD,null
US.ANA01048.BOX,s(US.ANA01038.BOX),US.ANA01298.CMD,null
US.ANA01036.BOX,s(US.ANA01001.BOX),US.ANA01299.CMD,null
US.ANA01037.BOX,s(US.ANA01047.BOX),US.ANA01300.CMD,null
US.ANA01049.BOX,s(US.ANA01001.BOX),US.ANA01305.CMD,s(US.ANA01297.CMD)
US.ANA01048.BOX,s(US.ANA01038.BOX),US.ANA01306.CMD,s(US.ANA01298.CMMD)
US.ANA01036.BOX,s(US.ANA01001.BOX),US.ANA01307.CMD,s(US.ANA01299.CMD)
US.ANA01037.BOX,s(US.ANA01047.BOX),US.ANA01308.CMD,s(US.ANA01300.CMD)
US.ANA01032.BOX,s(US.ANA01001.BOX),US.ANA01318.CMD,s(US.ANA01071.CMD)
US.ANA01032.BOX,s(US.ANA01001.BOX),US.ANA01319.CMD,s(US.ANA01318.CMD)
US.ANA01032.BOX,s(US.ANA01001.BOX),US.ANA01320.CMD,s(US.ANA01319.CMD)
US.ANA01013.BOX,s(US.ANA01012.BOX),US.ANA01343.CMD,s(US.ANA01051.CMD)
US.ANA01028.BOX,s(US.ANA01038.BOX),US.ANA01344.CMD,s(US.ANA01061.CMD)
US.ANA01011.BOX,s(US.ANA01001.BOX),US.ANA01377.CMD,s(US.ANA01029.CMD)
US.ANA01012.BOX,s(US.ANA01011.BOX),US.ANA01378.CMD,s(US.ANA01044.CMD)
US.ANA01023.BOX,s(US.ANA01001.BOX),US.ANA01398.CMD,null
US.ANA01023.BOX,s(US.ANA01001.BOX),US.ANA01399.CMD,s(US.ANA01405.CMD)
US.ANA01023.BOX,s(US.ANA01001.BOX),US.ANA01405.CMD,s(US.ANA01398.CMD)
US.ANA01026.BOX,s(US.ANA01031.BOX),US.ANA01413.CMD,null
US.ANA01026.BOX,s(US.ANA01031.BOX),US.ANA01414.CMD,s(US.ANA01413.CMD)
US.ANA01021.BOX,s(US.ANA01001.BOX),US.ANA01417.CMD,null
US.ANA01021.BOX,s(US.ANA01001.BOX),US.ANA01418.CMD,s(US.ANA01417.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01421.CMD,null
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01422.CMD,s(US.ANA01421.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01423.CMD,s(US.ANA01422.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01424.CMD,s(US.ANA01423.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01425.CMD,s(US.ANA01424.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01426.CMD,s(US.ANA01425.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01427.CMD,s(US.ANA01426.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01428.CMD,s(US.ANA01427.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01429.CMD,s(US.ANA01428.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01430.CMD,s(US.ANA01429.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01431.CMD,s(US.ANA01430.CMD)
US.ANA01024.BOX,s(US.ANA01005.BOX),US.ANA01433.CMD,s(US.ANA01431.CMD)
US.ANA01002.BOX,s(US.ANA01013.BOX),US.ANA01440.CMD,null
US.ANA01010.BOX,s(US.ANA01002.BOX),US.ANA01443.CMD,s(US.ANA01443.CMD)
US.ANA01010.BOX,s(US.ANA01002.BOX),US.ANA01445.CMD,s(US.ANA01514.CMD)
US.ANA01018.BOX,s(US.ANA01002.BOX),US.ANA01446.CMD,s(US.ANA01513.CMD)
US.ANA01018.BOX,s(US.ANA01002.BOX),US.ANA01447.CMD,s(US.ANA01446.CMD)
US.ANA01030.BOX,s(US.ANA01001.BOX),US.ANA01458.CMD,null
US.ANA01030.BOX,s(US.ANA01001.BOX),US.ANA01468.CMD,s(US.ANA01458.CMD)
US.ANA01043.BOX,s(US.ANA01001.BOX),US.ANA01505.CMD,null
US.ANA01043.BOX,s(US.ANA01001.BOX),US.ANA01510.CMD,s(US.ANA01505.CMD)
US.ANA01038.BOX,s(US.ANA01001.BOX),US.ANA01511.CMD,null
US.ANA01018.BOX,s(US.ANA01002.BOX),US.ANA01513.CMD,null
US.ANA01067.BOX,s(US.ANA01013.BOX),US.ANA01519.CMD,null
US.ANA01067.BOX,s(US.ANA01001.BOX),US.ANA01519.CMD,null
US.ANA01067.BOX,s(US.ANA01013.BOX),US.ANA01520.CMD,s(US.ANA01519.CMD)
US.ANA01067.BOX,s(US.ANA01001.BOX),US.ANA01520.CMD,s(US.ANA01519.CMD)
US.ANA01060.BOX,s(US.ANA01006.BOX),US.ANA01521.CMD,null
US.ANA01060.BOX,s(US.ANA01006.BOX),US.ANA01522.CMD,null
US.ANA01060.BOX,s(US.ANA01006.BOX),US.ANA01523.CMD,s(US.ANA01522.CMD)
US.ANA01060.BOX,s(US.ANA01006.BOX),US.ANA01524.CMD,s(US.ANA01523.CMD)
US.ANA01060.BOX,s(US.ANA01006.BOX),US.ANA01524.CMD,s(US.ANA01523.CMD)
US.ANA01014.BOX,s(US.ANA01002.BOX)& s(US.ANA01013.BOX),US.ANA01527.CMD,null
US.ANA01014.BOX,s(US.ANA01002.BOX)& s(US.ANA01013.BOX),US.ANA01528.CMD,s(US.ANA01527.CMD)
US.ANA01022.BOX,s(US.ANA01001.BOX),US.ANA01530.CMD,null
US.ANA01022.BOX,s(US.ANA01001.BOX),US.ANA01531.CMD,s(US.ANA01530.CMD)
US.ANA01047.BOX,s(US.ANA01011.BOX),US.ANA01591.CMD,null
US.ANA01047.BOX,s(US.ANA01011.BOX),US.ANA01592.CMD,s(US.ANA01591.CMD)
US.ANA01053.BOX,s(US.ANA01060.BOX),US.ANA01624.CMD,null
US.ANA01053.BOX,s(US.ANA01060.BOX),US.ANA01625.CMD,s(US.ANA01624.CMD)
US.ANA01042.BOX,s(US.ANA01024.BOX),US.ANA01731.CMD,null
US.ANA01056.BOX,s(US.ANA01004.BOX),US.ANA01733.CMD,null
US.ANA01056.BOX,s(US.ANA01004.BOX),US.ANA01734.CMD,s(US.ANA01733.CMD)
US.ANA01061.BOX,s(US.ANA01051.CMD),US.ANA01800.CMD,null
US.ANA01062.BOX,s(US.ANA01001.BOX),US.ANA01801.CMD,null
US.ANA01063.BOX,s(US.ANA01064.BOX),US.ANA01802.CMD,null
US.ANA01064.BOX,s(US.ANA01001.BOX),US.ANA01803.CMD,null
US.ANA01065.BOX,s(US.ANA01001.BOX),US.ANA01804.CMD,null
US.ANA01065.BOX,s(US.ANA01001.BOX),US.ANA01805.CMD,s(US.ANA01804.CMD)
US.ANA01063.BOX,s(US.ANA01064.BOX),US.ANA01806.CMD,s(US.ANA01802.CMD)
US.ANA01046.BOX,s(US.ANA01023.BOX),US.ANA010408.CMD,null
US.ANA01046.BOX,s(US.ANA01023.BOX),US.ANA010409.CMD,s(US.ANA010408.CMD)
US.ANA01045.BOX,s(US.ANA01001.BOX),US.ANA010410.CMD,null
US.ANA01045.BOX,s(US.ANA01001.BOX),US.ANA010411.CMD,s(US.ANA010410.CMD)
